,rouge1,rouge2,rougeL,f1,sas,bertscore
120,0.35,0.12,0.18,0.13,0.5766162,0.98
121,0.31,0.14,0.22,0.23,0.6620439,0.95
122,0.44,0.13,0.31,0.2,0.7010002,0.96
123,0.4,0.09,0.19,0.19,0.5669319,0.97
124,0.3,0.23,0.26,0.23,0.70202583,0.95
125,0.5,0.23,0.37,0.32,0.7342916,0.98
126,0.29,0.01,0.16,0.13,0.3720484,0.96
127,0.35,0.11,0.23,0.16,0.540522,0.98
128,0.26,0.11,0.23,0.17,0.6478471,0.95
129,0.36,0.11,0.21,0.16,0.62591815,0.97
130,0.27,0.04,0.13,0.11,0.59265834,0.95
131,0.2,0.03,0.14,0.1,0.5846716,0.94
132,0.26,0.08,0.16,0.12,0.56566805,0.92
133,0.25,0.06,0.17,0.12,0.6578403,0.95
134,0.41,0.08,0.21,0.17,0.64888334,0.96
135,0.27,0.07,0.15,0.12,0.50125545,0.95
