,rouge1,rouge2,rougeL,f1,sas,bertscore
60,0.29,0.09,0.2,0.24,0.4960705,0.96
61,0.19,0.0,0.14,0.13,0.15260133,0.94
62,0.3,0.11,0.13,0.21,0.48590592,0.95
63,0.38,0.18,0.24,0.25,0.47785202,0.96
64,0.26,0.07,0.17,0.16,0.59512204,0.93
65,0.1,0.02,0.09,0.07,0.5070688,0.86
66,0.34,0.05,0.19,0.11,0.53860277,0.98
67,0.2,0.09,0.15,0.08,0.5086628,0.93
68,0.21,0.05,0.13,0.16,0.527156,0.87
69,0.25,0.04,0.15,0.13,0.5299377,0.94
70,0.4,0.29,0.31,0.36,0.39740616,0.97
